organ	country	month_day	avg_2019	avg_2020	ratio
heart	Brazil	11-19	1.2	0.866	1.386
heart	Brazil	11-20	1.21	0.863	1.402
heart	Brazil	11-21	1.221	0.86	1.418
heart	Brazil	11-22	1.23	0.858	1.434
heart	Brazil	11-23	1.24	0.855	1.449
heart	Brazil	11-24	1.249	0.853	1.464
heart	Brazil	11-25	1.257	0.851	1.477
heart	Brazil	11-26	1.264	0.849	1.489
heart	Brazil	11-27	1.271	0.847	1.5
heart	Brazil	11-28	1.276	0.846	1.509
heart	Brazil	11-29	1.282	0.844	1.518
heart	Brazil	11-30	1.286	0.843	1.527
heart	Brazil	12-01	1.291	0.841	1.534
heart	Brazil	12-02	1.295	0.84	1.541
heart	Brazil	12-03	1.298	0.839	1.546
heart	Brazil	12-04	1.301	0.839	1.551
heart	Brazil	12-05	1.302	0.838	1.554
heart	Brazil	12-06	1.303	0.837	1.556
heart	Brazil	12-07	1.304	0.837	1.558
heart	Brazil	12-08	1.304	0.837	1.558
heart	Brazil	12-09	1.303	0.837	1.557
heart	Brazil	12-10	1.301	0.837	1.555
heart	Brazil	12-11	1.3	0.837	1.553
heart	Brazil	12-12	1.297	0.837	1.549
heart	Brazil	12-13	1.294	0.838	1.544
heart	Brazil	12-14	1.29	0.838	1.539
heart	Brazil	12-15	1.286	0.839	1.532
heart	Brazil	12-16	1.281	0.84	1.524
heart	Brazil	12-17	1.275	0.841	1.516
heart	Brazil	12-18	1.269	0.842	1.506
heart	Brazil	12-19	1.262	0.844	1.495
heart	Brazil	12-20	1.254	0.845	1.483
heart	Brazil	12-21	1.246	0.847	1.471
heart	Brazil	12-22	1.237	0.849	1.457
heart	Brazil	12-23	1.227	0.851	1.443
heart	Brazil	12-24	1.217	0.853	1.428
heart	Chile	03-01	0.143	0.065	2.197
heart	Chile	03-02	0.161	0.07	2.286
heart	Chile	03-03	0.177	0.075	2.378
heart	Chile	03-04	0.192	0.077	2.472
heart	Chile	03-05	0.204	0.079	2.579
heart	Chile	03-06	0.214	0.079	2.708
heart	Chile	03-07	0.223	0.078	2.866
heart	Chile	03-08	0.23	0.075	3.06
heart	Chile	03-09	0.235	0.071	3.315
heart	Chile	03-10	0.239	0.063	3.801
heart	Chile	03-11	0.239	0.053	4.47
heart	Chile	03-12	0.229	0.042	5.394
heart	Chile	03-13	0.212	0.029	7.259
heart	Chile	03-14	0.194	0.018	10.525
heart	Chile	03-15	0.165	0.01	16.282
heart	Chile	03-16	0.137	0.003	41.359
heart	Chile	03-17	0.12	0	-418.643
heart	Chile	03-18	0.105	-0.002	-62.15
heart	Chile	03-19	0.101	-0.002	-44.077
heart	Chile	03-20	0.116	-0.003	-42.578
heart	Chile	03-21	0.137	-0.002	-73.771
heart	Chile	03-22	0.16	0	382.516
heart	Chile	03-23	0.19	0.004	49.152
heart	Chile	03-24	0.213	0.009	22.844
heart	Chile	03-25	0.225	0.019	11.997
heart	Chile	03-26	0.234	0.029	7.965
heart	Chile	03-27	0.236	0.04	5.837
heart	Chile	03-28	0.233	0.053	4.394
heart	Chile	03-29	0.228	0.063	3.626
heart	Chile	03-30	0.224	0.069	3.222
heart	Chile	03-31	0.216	0.074	2.909
heart	Chile	04-01	0.203	0.077	2.64
heart	Chile	04-02	0.186	0.077	2.401
heart	Chile	04-03	0.166	0.077	2.162
heart	Chile	04-04	0.137	0.076	1.814
heart	Chile	04-05	0.108	0.073	1.477
heart	Chile	04-06	0.083	0.068	1.215
heart	Chile	04-07	0.056	0.061	0.926
heart	Chile	04-08	0.038	0.053	0.725
heart	Chile	04-09	0.032	0.042	0.777
heart	Chile	04-10	0.031	0.03	1.046
heart	Chile	04-11	0.037	0.02	1.8
heart	Chile	04-12	0.049	0.011	4.474
heart	Chile	04-13	0.059	0.004	15.401
heart	Chile	04-14	0.066	0	142.593
heart	Chile	04-15	0.073	-0.001	-51.921
heart	Chile	04-16	0.075	-0.002	-36.215
heart	Chile	04-17	0.075	-0.001	-71.74
heart	Chile	04-18	0.075	0	-213.184
heart	Chile	04-19	0.073	0	-349.995
heart	Chile	04-20	0.07	0	Inf
heart	Chile	04-21	0.068	0	Inf
heart	Chile	04-22	0.064	0	Inf
heart	Chile	04-23	0.062	0	Inf
heart	Chile	04-24	0.06	0	Inf
heart	Chile	04-25	0.059	0	Inf
heart	Chile	04-26	0.06	0	Inf
heart	Chile	04-27	0.061	0	Inf
heart	Chile	04-28	0.063	0	Inf
heart	Chile	04-29	0.064	0	Inf
heart	Chile	04-30	0.066	0	Inf
heart	Chile	05-01	0.07	0	Inf
heart	Chile	05-02	0.074	0	Inf
heart	Chile	05-03	0.08	0	Inf
heart	Chile	05-04	0.092	0	Inf
heart	Chile	05-05	0.104	0	Inf
heart	Chile	05-06	0.118	0	Inf
heart	Chile	05-07	0.134	0	Inf
heart	Chile	05-08	0.146	0	Inf
heart	Chile	05-09	0.153	0	Inf
heart	Chile	05-10	0.157	0	Inf
heart	Chile	05-11	0.156	0	Inf
heart	Chile	05-12	0.152	0	Inf
heart	Chile	05-13	0.149	0	Inf
heart	Chile	05-14	0.146	0	Inf
heart	Chile	05-15	0.144	0	Inf
heart	Chile	05-16	0.143	0	Inf
heart	Chile	05-17	0.142	0	Inf
heart	Chile	05-18	0.142	0	Inf
heart	Chile	05-19	0.142	0	Inf
heart	Chile	05-20	0.143	0	Inf
heart	Croatia	03-01	0.06	0.199	0.3
heart	Croatia	03-02	0.06	0.19	0.316
heart	Croatia	03-03	0.06	0.18	0.333
heart	Croatia	03-04	0.06	0.171	0.351
heart	Croatia	03-05	0.06	0.162	0.372
heart	Croatia	03-06	0.06	0.153	0.394
heart	Croatia	03-07	0.061	0.145	0.419
heart	Croatia	03-08	0.061	0.137	0.446
heart	Croatia	03-09	0.061	0.129	0.476
heart	Croatia	03-10	0.061	0.121	0.509
heart	Croatia	03-11	0.062	0.113	0.547
heart	Croatia	03-12	0.062	0.106	0.589
heart	Croatia	03-13	0.062	0.098	0.636
heart	Croatia	03-14	0.063	0.091	0.689
heart	Croatia	03-15	0.063	0.084	0.749
heart	Croatia	03-16	0.064	0.078	0.817
heart	Croatia	03-17	0.064	0.072	0.895
heart	Croatia	03-18	0.065	0.066	0.985
heart	Croatia	03-19	0.065	0.06	1.09
heart	Croatia	03-20	0.066	0.054	1.212
heart	Croatia	03-21	0.066	0.049	1.36
heart	Croatia	03-22	0.067	0.043	1.538
heart	Croatia	03-23	0.067	0.038	1.759
heart	Croatia	03-24	0.068	0.033	2.034
heart	Croatia	03-25	0.069	0.029	2.384
heart	Croatia	03-26	0.069	0.024	2.838
heart	Croatia	03-27	0.07	0.02	3.442
heart	Croatia	03-28	0.071	0.017	4.268
heart	Croatia	03-29	0.072	0.013	5.441
heart	Croatia	03-30	0.072	0.01	7.199
heart	Croatia	03-31	0.073	0.007	10.079
heart	Croatia	04-01	0.074	0.005	15.519
heart	Croatia	04-02	0.075	0.003	29.191
heart	Croatia	04-03	0.076	0.001	119.229
heart	Croatia	04-04	0.077	-0.001	-74.234
heart	Croatia	04-05	0.078	-0.002	-31.636
heart	Croatia	04-06	0.078	-0.004	-21.592
heart	Croatia	04-07	0.079	-0.005	-17.282
heart	Croatia	04-08	0.08	-0.005	-15.408
heart	Croatia	04-09	0.081	-0.005	-15.053
heart	Croatia	04-10	0.082	-0.005	-15.804
heart	Croatia	04-11	0.083	-0.005	-17.79
heart	Croatia	04-12	0.084	-0.004	-21.743
heart	Croatia	04-13	0.085	-0.003	-30
heart	Croatia	04-14	0.087	-0.002	-52.846
heart	Croatia	04-15	0.088	0	-292.496
heart	Croatia	04-16	0.089	0.001	79.663
heart	Croatia	04-17	0.09	0.003	35.217
heart	Croatia	04-18	0.091	0.004	21.797
heart	Croatia	04-19	0.092	0.006	15.014
heart	Croatia	04-20	0.094	0.008	11.138
heart	Croatia	04-21	0.095	0.011	8.721
heart	Croatia	04-22	0.097	0.014	7.113
heart	Croatia	04-23	0.098	0.016	5.993
heart	Croatia	04-24	0.099	0.019	5.182
heart	Croatia	04-25	0.101	0.022	4.581
heart	Croatia	04-26	0.102	0.025	4.125
heart	Croatia	04-27	0.103	0.028	3.733
heart	Croatia	04-28	0.105	0.031	3.371
