covid	tx2019	tx2020
0	0	0
0.0464142457203176	0.0403800475059382	0.0332541567695962
0.130381385102575	0.143705463182898	0.118764845605701
0.295605121850475	0.247030878859857	0.192399049881235
0.669175271926201	0.646080760095012	0.634204275534442
1	1	0.978622327790974
